date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-01 15:33:09,greekgoddess232,,0,0,2,"Dr Robert Rowen on ozone therapy for infectious disease- including Ebola. Worth the read http://www.medgasres.com/downloadpdf.asp?issn=2045-9912;year=2019;volume=9;issue=4;spage=232;epage=237;aulast=Rowen;type=2",,,,1212396349838094337,https://twitter.com/greekgoddess232/status/1212396349838094337
2020-01-01 15:32:54,GoddardJanice,,0,0,0,"From “There’s a tweet for everything” file: Trump criticized Obama for golfing during the 2013 tornado outbreak, during Ebola outbreak and soon after 2016 Louisiana floods. Today, the U.S. embassy in Iraq has been stormed. Trump just arrived at his golf club. #HypocriteLiar",,,#HypocriteLiar,1212396288081350656,https://twitter.com/GoddardJanice/status/1212396288081350656
2020-01-01 15:28:57,cdbunker2,,0,0,0,"masque of the red death but it's Peter Thiel's exsanguinary immortality seastead and the red death is weaponized ebola. auto-infected domestic laborer/blood and organ donor spreads it to the ultra rich inside",,,,1212395290138832896,https://twitter.com/cdbunker2/status/1212395290138832896
2020-01-01 15:27:30,krqe_headlines,,0,0,0,"Africa starts 2020 battling extremism, Ebola and hunger ",,,,1212394925150617600,https://twitter.com/krqe_headlines/status/1212394925150617600
2020-01-01 15:25:37,TheConstableng,,0,0,0,"Africa starts 2020 battling extremism, Ebola and hunger https://www.theconstable.ng/africa-starts-2020-battling-extremism-ebola-and-hunger/",,,,1212394452880363521,https://twitter.com/TheConstableng/status/1212394452880363521
2020-01-01 15:24:56,LittleLisa1103,,1,0,0," Helped develop and train my facility’s Emerging Special Pathogens Team and teach about Ebola Got engaged and married Bought my first house Gave several presentations including my first at a national conference Visited about 28 states Whew! What a decade!",,,,1212394281106841600,https://twitter.com/LittleLisa1103/status/1212394281106841600
2020-01-01 15:22:03,mugireje,ClancyReports,0,0,1,"That is a colonial interpretation of what is happening in Africa. A vaccine against ebola has been found. Growth on GDP is increasingly being registered in good number of countries. Regional and continental integration is being fast-tracked. Get facts. Leave the stereotype !",,,,1212393557702651904,https://twitter.com/mugireje/status/1212393557702651904
2020-01-01 15:22:01,Ifasic2017,,0,0,0,"Rapport du Comité national multisectoriel de la riposte à la maladie à virus Ebola : 1106 personnes guéries au 30 décembre 2019 https://eco-verts.info/rapport-du-comite-national-multisectoriel-de-la-riposte-a-la-maladie-a-virus-ebola-1106-personnes-gueries-au-30-decembre-2019/",,,,1212393546101202944,https://twitter.com/Ifasic2017/status/1212393546101202944
2020-01-01 15:21:30,lovereignssupr1,,0,22,23,"Dec 19 2019: FDA approves Merck's Ebola vaccine. And RIGHT on cue: the propaganda machine starts its spinning... ",,,,1212393415389962240,https://twitter.com/lovereignssupr1/status/1212393415389962240
2020-01-01 15:21:01,HelenBranswell,,0,7,8,"2. December 2019 ended with 67 #Ebola cases, a 72% increase from November, which was the lowest month since the outbreak began. There was an average of 2.2 cases per day in December, compared to 1.3 in November. There'd been 2.5 in October. Hope this isn't going in the wrong way. ",,,#Ebola,1212393296749846528,https://twitter.com/HelenBranswell/status/1212393296749846528
2020-01-01 15:21:00,HelenBranswell,,2,23,24,"1. #Ebola: There was 1 new case on Dec. 30. No deaths. Dec. 31 there were 3 cases. They were at Butembo &amp; Katwa, which is tragic. Those areas — hugely problematic for the response last spring (ie violence) — had gone weeks without cases. This outbreak appears to be expanding. ",,,#Ebola,1212393292371054592,https://twitter.com/HelenBranswell/status/1212393292371054592
2020-01-01 15:18:17,ClancyReports,,1,0,1,"Africa starts 2020 battling extremism, Ebola and hunger https://apnews.com/5cb7eb9475df8c2e001baf47c9c2645f",,,,1212392609769041921,https://twitter.com/ClancyReports/status/1212392609769041921
2020-01-01 15:16:05,mattcblgates,,0,0,0,"Of the past ten years, what was the best examples of the Church being a global witness to the way of Jesus? (The papal succession, the response to Ebola, the response to injustice, Kanye West ;) #happynewyear2020 #jesus #justice #HappyNewDecade #love #bible #2010s",,,#happynewyear2020 #jesus #justice #HappyNewDecade #love #bible #2010s,1212392054648721409,https://twitter.com/mattcblgates/status/1212392054648721409
2020-01-01 15:15:26,DaveDwalker70,,0,0,0,"Africa starts 2020 battling extremism, Ebola and hunger: Another f...… racist stereotyping of 56 countries! how has Europe or shall I say us Westerners started 2020? this is just f...… tosh!",,,,1212391890450075655,https://twitter.com/DaveDwalker70/status/1212391890450075655
2020-01-01 15:05:27,katieled2,tomBOMBmanschot,1,0,0,"Update.... I went downstairs (stupid) and he read me his goals for today and guess what’s on it... Also, I definitely have Ebola.",,,,1212389377579667457,https://twitter.com/katieled2/status/1212389377579667457
2020-01-01 15:05:24,notsokul,Chauk_Anna_,1,0,0,"Ebola virus",,,,1212389364598071296,https://twitter.com/notsokul/status/1212389364598071296
2020-01-01 15:00:38,Change_HC,,0,0,0,"Ebola vaccine approved by FDA | ABC News https://buff.ly/2PMDKLb #ebola #vaccines #clincalguidelines",,,#ebola #vaccines #clincalguidelines,1212388165773922304,https://twitter.com/Change_HC/status/1212388165773922304
2020-01-01 15:00:28,JamaicaObserver,,8,6,6,"Africa starts 2020 battling extremism, Ebola and hunger http://www.jamaicaobserver.com/latestnews/Africa_starts_2020_battling_extremism,_Ebola_and_hunger",,,,1212388124455833601,https://twitter.com/JamaicaObserver/status/1212388124455833601
2020-01-01 14:59:51,BogochIsaac,sigal_md,0,0,5,"Lots of great items: Data supporting PO abx for OM; POET study and how we integrate this still-not-perfect data into routine care; Ebola vaccine and treatments; worldwide dengue outbreak; Re-emergence of measles and the US almost losing their ‘elimination’ status; hiv PIP; etc",,,,1212387967429414914,https://twitter.com/BogochIsaac/status/1212387967429414914
2020-01-01 14:56:41,Monicadisaster1,,0,0,1,"#ptsd #ebola #Infectiousdisease #postintensivecaresyndrome #survivorsguilt #PIH #NIH #trauma #mentalhealth #healing #thebodykeepsthescore",,,#ptsd #ebola #Infectiousdisease #postintensivecaresyndrome #survivorsguilt #PIH #NIH #trauma #mentalhealth #healing #thebodykeepsthescore,1212387170272653313,https://twitter.com/Monicadisaster1/status/1212387170272653313
2020-01-01 14:51:36,906Carignan,CarlaQLore1,0,0,2,"Double up on the Ebola vax",,,,1212385892855365635,https://twitter.com/906Carignan/status/1212385892855365635
2020-01-01 14:50:20,cho_cats,,1,0,0,"africas funniest ebola videos",,,,1212385574423654403,https://twitter.com/cho_cats/status/1212385574423654403
2020-01-01 14:49:52,rhoda_bennett,Inevitable_ET,0,0,1,"Ebola crossing our border.",,,,1212385457448898564,https://twitter.com/rhoda_bennett/status/1212385457448898564
2020-01-01 14:48:19,YPIA_DC,,0,0,0,"Africa starts 2020 battling extremism, Ebola and hunger ",,,,1212385065323380736,https://twitter.com/YPIA_DC/status/1212385065323380736
2020-01-01 14:48:14,bea_nathan,bob_vanderhoeve,0,0,0,"Ben voilà pourquoi il continue à détruire les bases arrières des insurgents, rapatrier 1600 Rwandais chez eux. Il est tellement bête que sa stratégie aussi mis fin à Ebola et à mis fin aux tueries en Ituri. Oui il est tellement bête mon président ",,,,1212385047359217664,https://twitter.com/bea_nathan/status/1212385047359217664
2020-01-01 14:45:22,rocza,,1,15,22,"My @JournalofEthics paper on ethics, EID, &amp; benefits sharing (&amp; the 2013-2016 #ebola epidemic), co-authored with @neva9257 and Adam Levine (no, not that one) is out now: https://journalofethics.ama-assn.org/article/how-should-who-guide-access-and-benefit-sharing-during-infectious-disease-outbreaks/2020-01 #bioethics #happynewyear",,@JournalofEthics @neva9257,#ebola #bioethics #happynewyear,1212384324995170304,https://twitter.com/rocza/status/1212384324995170304
2020-01-01 14:45:13,sosawavegod,Marys_lair,1,1,1,"HIV, Ebola, Cancer. Yup. I think they all exist in area 51.",,,,1212384284201361408,https://twitter.com/sosawavegod/status/1212384284201361408
2020-01-01 14:44:38,ranchoro,BlackCulture_HM,0,0,0,"Sponsored attacks on Syria, ebola in drc , Libya and countless atrocities someone should tell blonde that her government has done worse",,,,1212384137849556994,https://twitter.com/ranchoro/status/1212384137849556994
2020-01-01 14:44:18,withTonyandLisa,,0,0,0,"US agency offers legal immunity to Ebola vaccine makers ",,,,1212384055280513024,https://twitter.com/withTonyandLisa/status/1212384055280513024
2020-01-01 14:41:39,TSHIANKU,Aldysheky,0,0,0,"Sérieux?Même la crème intellectuelle du pays trouve juste ces délires des enfants incapables de comprendre les enjeux de la gouvernance!Que pouvait faire fatshi sans gouvernement et budget? Fatshi fera ce qu'il a promis. Il ne reconnaissent mm pas des efforts Ebola et gratuité!",,,,1212383389283704833,https://twitter.com/TSHIANKU/status/1212383389283704833
2020-01-01 14:40:38,patjean8,zython11,1,0,0,"...ensuite L’ébola, la fièvre aphteuse, la grippa aviaire... ",,,,1212383132432945152,https://twitter.com/patjean8/status/1212383132432945152
2020-01-01 14:33:39,_lilkimmy,martinssme,1,0,1,"ebola atacou",,,,1212381375325712384,https://twitter.com/_lilkimmy/status/1212381375325712384
2020-01-01 14:31:59,melanie49597178,UHomophobie,0,0,0,"@agnesbuzyn on dit pas qu'il vaut mieux traiter à la racine ? les risques d'épidémies (Ebola, tuberculose ect …) vont couter deux plus chers ! déjà dans les écoles ! ",,@agnesbuzyn,,1212380954410594306,https://twitter.com/melanie49597178/status/1212380954410594306
2020-01-01 14:30:13,JorgeCastillaE,,0,0,0,"WHO AFRO Outbreaks and Emergencies Bulletin Week 52. Last week of 2019. Have a happy 2020 · Malaria in Burundi · Ebola virus disease in Democratic Republic of the Congo · Humanitarian crisis in Nigeria https://lnkd.in/dqwaNWX",,,,1212380510816784385,https://twitter.com/JorgeCastillaE/status/1212380510816784385
2020-01-01 14:26:04,katieled2,,2,0,3,"Guys I’ve been awake in bed for an hour... As soon as I go downstairs Tom’s gonna wanna go to the gym and fulfill his resolution: to work out every day ... Oh No!.... I think I have ebola.",,,,1212379466305015808,https://twitter.com/katieled2/status/1212379466305015808
2020-01-01 14:22:10,KJORielly,drewfoundland,1,0,3,"Thieves. Just above 'whale shit' in the hierarchy of low lying shit. I hope you had some ebola virus lying around that got stolen. ",,,,1212378487463518218,https://twitter.com/KJORielly/status/1212378487463518218
2020-01-01 14:20:14,cho_cats,,0,0,0,"Hitler has ebola",,,,1212377999649099776,https://twitter.com/cho_cats/status/1212377999649099776
2020-01-01 14:19:46,Ross_TPG_Graham,isolatedscot,1,0,1,"""Fuck me in the puss puss"" ""Marry me bitch"" ""I want Ebola to suck me"" ""I want to make Todd Howard pregnant"" Some are worse that I won't type publicly haha",,,,1212377879549562881,https://twitter.com/Ross_TPG_Graham/status/1212377879549562881
2020-01-01 14:16:39,don_ra_mon,,0,0,0," EE.UU. aprueba una de las dos vacunas contra el ébola, que tiene una tasa de efectividad del 100% con suficiente anticipación, aunque no está claro cuánto dura la protección de la vacuna. ",,,,1212377098054242304,https://twitter.com/don_ra_mon/status/1212377098054242304
2020-01-01 14:14:56,MuckZuckerburg,,0,0,0,"FROM LOVED FART HONEY IS CLAM TO POO AND DUMBER THAN SOMBER AND SPONGY. STREET ELECTRICAL TO TAKE A BATH TARANTULA LIKES TO EBOLA TO PLAY CRAPS. TO SEE FART WHEN YOU WANT. AT HEMORRHOIDS. PALM OIL BEFORE POINTY GARLIC PILAF DUBSTEP THE DISTORTED FRUIT HAVE THEM TOO.",,,,1212376665805819905,https://twitter.com/MuckZuckerburg/status/1212376665805819905
2020-01-01 14:13:19,AmazngAuthors,,0,0,0,"RT@Amazng99 I wish people were as concerned about CV disease as Ebola. http://smarturl.it/SAVtg #health ^_",,@amazng99,#health,1212376259801604097,https://twitter.com/AmazngAuthors/status/1212376259801604097
2020-01-01 14:12:53,Sait_R,ilianahcuba,0,0,0,"Sin duda, un régimen que ha Sido peor que el Ébola para América Latina, lastima que Kennedy no acabó con Fidel y su banda criminal!!! ",,,,1212376151181733889,https://twitter.com/Sait_R/status/1212376151181733889
2020-01-01 14:08:07,Paololotti08,GPuranga,0,0,0,"Certo anzi,se dopo aver distrutto lavoro,Parlamento e istituzioni fai scoppiare un’epidemia di ebola vedrai che ci sarà quella al 1*posto Siete teneri con il sondaggino con il 3* 4* 5* posto correlati e ciò nonostante negate l’evidenza Vi meritate Salvini per i prossimi 2 secoli",,,,1212374950893494273,https://twitter.com/Paololotti08/status/1212374950893494273
2020-01-01 14:06:53,agirlinbklyn,DebbieOConnor4,0,0,0,"Haha brilliant take. He wants out of there so badly! Maybe he'll come down with ""strep throat"" just as it starts. Or maybe Ebola if my wishes came true",,,,1212374640296972288,https://twitter.com/agirlinbklyn/status/1212374640296972288
2020-01-01 14:03:56,MusicArch,Davlerouge1,1,3,8,"quitte a prendre un risque qui au final , est tout sauf un risque, fallait surtout voter @UPR_Asselineau au premier tour plutôt que de faire en sorte qu'on est que le choix au second tour entre le sida et ebola",,@UPR_Asselineau,,1212373895363334145,https://twitter.com/MusicArch/status/1212373895363334145
